mutation_id	ccf_true	minor_cn	major_cn	total_cn	purity	normal_cn	mult_true	vaf	total_counts	var_counts	ref_counts
0	1	1	1	2	0.8	2	1	0.4	202	81	121
1	1	2	2	4	0.8	2	1	0.22222222222222224	411	93	318
2	1	1	2	3	0.8	2	1	0.4	292	111	181
3	1	0	2	2	0.8	2	1	0.4	153	59	94
4	1	0	1	1	0.8	2	1	0.4	85	37	48
5	0.75	2	4	6	0.8	2	1	0.30000000000000004	567	184	383
6	0.75	1	2	3	0.8	2	1	0.30000000000000004	307	92	215
7	0.75	1	3	4	0.8	2	3	0.5625	330	185	145
8	0.75	0	4	4	0.8	2	4	0.7500000000000001	425	309	116
9	0.75	0	3	3	0.8	2	1	0.30000000000000004	293	81	212
10	0.75	2	2	4	0.8	2	2	0.37500000000000006	413	139	274
11	0.75	2	1	3	0.8	2	1	0.23076923076923075	278	65	213
12	0.75	1	2	3	0.8	2	1	0.30000000000000004	285	83	202
13	0.75	0	2	2	0.8	2	2	0.6000000000000001	171	96	75
14	0.75	0	1	1	0.8	2	1	0.30000000000000004	116	34	82
15	0.75	2	2	4	0.8	2	1	0.30000000000000004	328	97	231
16	0.5	1	4	5	0.8	2	1	0.2	466	89	377
17	0.5	0	1	1	0.8	2	1	0.3333333333333333	110	39	71
18	0.5	0	3	3	0.8	2	1	0.2	276	59	217
19	0.3	0	2	2	0.8	2	1	0.12	191	26	165
20	0.3	2	4	6	0.8	2	1	0.12	624	83	541
21	0.3	0	2	2	0.8	2	1	0.12	168	21	147
22	0.3	0	1	1	0.8	2	1	0.13636363636363635	78	8	70
23	0.3	2	3	5	0.8	2	1	0.12	472	72	400
24	0.3	0	2	2	0.8	2	1	0.12	198	21	177
25	0.2	2	1	3	0.8	2	1	0.08000000000000002	289	17	272
26	0.2	1	3	4	0.8	2	1	0.044444444444444446	424	18	406
27	0.2	2	2	4	0.8	2	1	0.044444444444444446	364	15	349
28	0.2	1	1	2	0.8	2	1	0.08000000000000002	213	20	193
29	0.2	1	2	3	0.8	2	1	0.08000000000000002	321	27	294
30	0.2	2	1	3	0.8	2	1	0.08000000000000002	278	21	257
31	0.15	2	3	5	0.8	2	1	0.06	507	37	470
32	0.15	1	2	3	0.8	2	1	0.056603773584905655	256	16	240
33	0.15	1	3	4	0.8	2	1	0.03333333333333333	388	15	373
34	0.15	0	2	2	0.8	2	2	0.12	170	23	147
35	0.15	1	4	5	0.8	2	1	0.06	549	37	512
36	0.15	1	1	2	0.8	2	1	0.06	177	9	168
37	0.15	2	1	3	0.8	2	1	0.056603773584905655	298	18	280
38	0.15	1	1	2	0.8	2	1	0.06	191	12	179
39	0.15	1	4	5	0.8	2	1	0.027272727272727268	575	12	563
