mutation_id	ccf_true	minor_cn	major_cn	total_cn	purity	normal_cn	mult_true	vaf	total_counts	var_counts	ref_counts
0	1	0	1	1	0.8	2	1	0.6666666666666666	951	628	323
1	1	1	3	4	0.8	2	3	0.6666666666666667	3929	2631	1298
2	1	1	2	3	0.8	2	1	0.2857142857142857	3043	879	2164
3	1	2	4	6	0.8	2	2	0.30769230769230765	6152	1892	4260
4	1	0	1	1	0.8	2	1	0.6666666666666666	1032	667	365
5	0.75	1	3	4	0.8	2	1	0.16666666666666666	4151	725	3426
6	0.75	0	2	2	0.8	2	1	0.30000000000000004	1913	575	1338
7	0.75	2	2	4	0.8	2	2	0.37500000000000006	3949	1407	2542
8	0.75	1	1	2	0.8	2	1	0.30000000000000004	2063	653	1410
9	0.75	2	3	5	0.8	2	2	0.3157894736842105	5023	1616	3407
10	0.75	1	2	3	0.8	2	2	0.4615384615384615	2970	1336	1634
11	0.75	1	2	3	0.8	2	1	0.2142857142857143	3012	636	2376
12	0.75	0	2	2	0.8	2	1	0.30000000000000004	2047	597	1450
13	0.75	0	4	4	0.8	2	4	0.7500000000000001	3953	2963	990
14	0.75	2	1	3	0.8	2	1	0.2142857142857143	2967	648	2319
15	0.75	1	4	5	0.8	2	1	0.13636363636363638	5140	665	4475
16	0.5	1	2	3	0.8	2	1	0.16666666666666666	2979	511	2468
17	0.5	0	4	4	0.8	2	4	0.5714285714285714	4128	2381	1747
18	0.5	1	2	3	0.8	2	1	0.16666666666666666	3015	515	2500
19	0.3	1	1	2	0.8	2	1	0.12	2000	252	1748
20	0.3	1	3	4	0.8	2	1	0.06666666666666667	3967	304	3663
21	0.3	1	1	2	0.8	2	1	0.12	2125	243	1882
22	0.3	2	2	4	0.8	2	1	0.06666666666666667	4196	283	3913
23	0.3	2	2	4	0.8	2	2	0.1935483870967742	4022	780	3242
24	0.3	1	2	3	0.8	2	1	0.08571428571428572	3060	250	2810
25	0.2	1	1	2	0.8	2	1	0.08000000000000002	2015	156	1859
26	0.2	1	3	4	0.8	2	1	0.06896551724137931	3959	286	3673
27	0.2	1	1	2	0.8	2	1	0.08000000000000002	1823	131	1692
28	0.2	2	2	4	0.8	2	1	0.044444444444444446	3950	199	3751
29	0.2	1	1	2	0.8	2	1	0.08000000000000002	2089	164	1925
30	0.2	1	1	2	0.8	2	1	0.08000000000000002	2025	170	1855
31	0.15	1	4	5	0.8	2	1	0.027272727272727268	4989	135	4854
32	0.15	2	1	3	0.8	2	1	0.056603773584905655	2960	160	2800
33	0.15	0	2	2	0.8	2	1	0.06	1942	115	1827
34	0.15	2	1	3	0.8	2	1	0.056603773584905655	2861	177	2684
35	0.15	1	1	2	0.8	2	1	0.06	2020	113	1907
36	0.15	1	1	2	0.8	2	1	0.06	2009	118	1891
37	0.15	1	1	2	0.8	2	1	0.06	1939	130	1809
38	0.15	1	2	3	0.8	2	1	0.04285714285714286	3059	125	2934
39	0.15	2	2	4	0.8	2	2	0.10714285714285712	3834	419	3415
